# time  ID  size  fromHost  toHost  TTL  isResponse
564.5258 M293 1242665 dtn2_15 ADB2 140 N 
565.1888 M294 1943266 dtn2_11 ADB2 140 N 
566.8625 M295 1448206 dtn2_14 ADB2 140 N 
567.8976 M296 1655694 dtn2_11 ADB2 140 N 
569.0154 M297 2917135 dtn1_10 ADB2 140 N 
571.4231 M298 1815258 dtn1_8 ADB2 140 N 
573.7150 M299 2647560 dtn1_9 ADB2 140 N 
573.7554 M300 2601070 dtn2_13 ADB2 140 N 
574.1063 M301 2819313 dtn2_15 ADB2 140 N 
574.1230 M302 2505750 dtn2_11 ADB2 140 N 
575.2496 M303 2118726 dtn1_8 ADB2 140 N 
575.3279 M304 1310020 dtn2_13 ADB2 140 N 
581.6777 M305 2145592 dtn1_9 ADB2 140 N 
582.1130 M306 2839008 dtn2_15 ADB2 140 N 
582.3955 M307 1918174 dtn1_10 ADB2 140 N 
583.1603 M308 1308218 dtn2_13 ADB2 140 N 
586.5270 M309 2650058 dtn2_15 ADB2 140 N 
590.1568 M310 2784452 dtn1_6 ADB2 140 N 
591.5981 M311 2408572 dtn1_6 ADB2 140 N 
593.3863 M312 1952295 dtn1_7 ADB2 140 N 
594.3507 M313 1769420 dtn2_11 ADB2 140 N 
594.8078 M314 2503057 dtn2_14 ADB2 140 N 
596.3919 M315 1150722 dtn2_15 ADB2 140 N 
601.4235 M316 2521246 dtn2_12 ADB2 140 N 
602.1462 M317 1099405 dtn1_8 ADB2 140 N 
604.8399 M318 1126897 dtn2_11 ADB2 140 N 
605.0467 M319 1622328 dtn2_15 ADB2 140 N 
606.7520 M320 2876827 dtn1_9 ADB2 140 N 
606.9385 M321 2672652 dtn1_9 ADB2 140 N 
610.0773 M322 2894126 dtn2_12 ADB2 140 N 
616.6252 M323 2588576 dtn2_12 ADB2 140 N 
618.4467 M324 2324947 dtn1_9 ADB2 140 N 
621.8313 M325 2966809 dtn2_15 ADB2 140 N 
624.2994 M326 2275082 dtn1_8 ADB2 140 N 
625.5807 M327 2726259 dtn2_15 ADB2 140 N 
626.0035 M328 1868575 dtn1_8 ADB2 140 N 
626.4519 M329 1055903 dtn1_10 ADB2 140 N 
628.6183 M330 1062721 dtn1_8 ADB2 140 N 
631.5967 M331 2698418 dtn2_11 ADB2 140 N 
631.8021 M332 2976525 dtn1_7 ADB2 140 N 
632.8016 M333 2698634 dtn1_10 ADB2 140 N 
633.2365 M334 1721766 dtn1_9 ADB2 140 N 
634.1760 M335 2692060 dtn1_9 ADB2 140 N 
636.7811 M336 2482315 dtn1_8 ADB2 140 N 
639.2105 M337 1296075 dtn2_11 ADB2 140 N 
640.6188 M338 2408672 dtn1_9 ADB2 140 N 
641.1837 M339 2149958 dtn2_12 ADB2 140 N 
641.7153 M340 2066360 dtn2_14 ADB2 140 N 
641.8881 M341 1353856 dtn1_6 ADB2 140 N 
648.9100 M342 2678857 dtn1_7 ADB2 140 N 
650.1105 M343 1264272 dtn1_10 ADB2 140 N 
653.3573 M344 2811089 dtn1_6 ADB2 140 N 
653.6108 M345 1285946 dtn2_14 ADB2 140 N 
654.1823 M346 1561706 dtn2_12 ADB2 140 N 
657.5929 M347 2433595 dtn1_6 ADB2 140 N 
659.1866 M348 1642685 dtn1_10 ADB2 140 N 
662.4936 M349 2711007 dtn2_15 ADB2 140 N 
664.1500 M350 2424477 dtn2_14 ADB2 140 N 
667.5811 M351 1973216 dtn1_8 ADB2 140 N 
668.0248 M352 2817470 dtn2_13 ADB2 140 N 
670.9815 M353 2477750 dtn2_13 ADB2 140 N 
671.1850 M354 2731976 dtn2_11 ADB2 140 N 
672.2870 M355 2193540 dtn1_9 ADB2 140 N 
674.5668 M356 1061949 dtn1_8 ADB2 140 N 
674.9137 M357 2573962 dtn2_13 ADB2 140 N 
675.8507 M358 2063802 dtn1_9 ADB2 140 N 
676.4490 M359 1085712 dtn2_11 ADB2 140 N 
677.6680 M360 1358265 dtn1_9 ADB2 140 N 
679.0682 M361 2542830 dtn1_6 ADB2 140 N 
679.2591 M362 1498284 dtn2_14 ADB2 140 N 
680.9200 M363 1085540 dtn2_14 ADB2 140 N 
684.9137 N6 1000000 ADB2 dtn2_11 140 N 
685.8600 M364 1641683 dtn1_10 ADB2 140 N 
686.3967 M365 1623463 dtn1_7 ADB2 140 N 
686.4462 M366 1020510 dtn1_9 ADB2 140 N 
688.8170 M367 2364051 dtn2_12 ADB2 140 N 
690.3424 M368 1621761 dtn1_6 ADB2 140 N 
690.3591 M369 2059312 dtn2_12 ADB2 140 N 
692.8431 M370 1770451 dtn1_10 ADB2 140 N 
696.3125 M371 2155825 dtn2_14 ADB2 140 N 
698.9754 M372 1252565 dtn2_13 ADB2 140 N 
699.1134 M373 1938911 dtn1_8 ADB2 140 N 
699.1484 M374 1073971 dtn2_15 ADB2 140 N 
704.9094 M375 2870736 dtn1_7 ADB2 140 N 
704.9803 M376 1863025 dtn1_9 ADB2 140 N 
709.6575 M377 2722733 dtn1_10 ADB2 140 N 
711.9372 M378 2342725 dtn2_11 ADB2 140 N 
713.9711 M379 2816403 dtn1_8 ADB2 140 N 
714.9005 M380 2116370 dtn2_14 ADB2 140 N 
715.6128 M381 1868443 dtn2_12 ADB2 140 N 
717.4452 M382 1824783 dtn1_8 ADB2 140 N 
718.6172 M383 1240673 dtn2_12 ADB2 140 N 
721.5567 M384 2719294 dtn2_13 ADB2 140 N 
729.6966 M385 1639864 dtn2_11 ADB2 140 N 
729.7064 N7 1000000 ADB2 dtn1_8 140 N 
730.5888 M386 1773714 dtn2_13 ADB2 140 N 
731.4309 M387 1220546 dtn2_13 ADB2 140 N 
732.5955 M388 1762068 dtn2_11 ADB2 140 N 
732.8691 M389 2097992 dtn1_9 ADB2 140 N 
733.6707 M390 2297390 dtn1_8 ADB2 140 N 
735.0160 M391 1731919 dtn1_6 ADB2 140 N 
738.5816 M392 1179575 dtn2_15 ADB2 140 N 
739.4944 M393 2926344 dtn2_15 ADB2 140 N 
745.1855 M394 1317782 dtn2_14 ADB2 140 N 
745.3412 M395 2129996 dtn2_12 ADB2 140 N 
747.1222 M396 1161182 dtn1_10 ADB2 140 N 
747.7142 M397 1169428 dtn1_8 ADB2 140 N 
749.9082 M398 1209080 dtn1_6 ADB2 140 N 
752.7818 M399 2465112 dtn2_12 ADB2 140 N 
754.4324 M400 1075843 dtn1_10 ADB2 140 N 
755.8315 M401 2648818 dtn2_11 ADB2 140 N 
759.9595 M402 1854133 dtn2_12 ADB2 140 N 
761.7016 M403 1681868 dtn1_6 ADB2 140 N 
762.9201 N8 1000000 ADB2 dtn1_8 140 N 
763.1101 M404 1884205 dtn2_12 ADB2 140 N 
764.9293 M405 1207088 dtn2_13 ADB2 140 N 
765.1534 M406 1941440 dtn1_7 ADB2 140 N 
765.7883 M407 2091690 dtn1_9 ADB2 140 N 
766.6309 M408 2785380 dtn2_13 ADB2 140 N 
767.7251 M409 1051056 dtn2_15 ADB2 140 N 
767.8934 M410 1404189 dtn2_12 ADB2 140 N 
770.2711 M411 1822389 dtn1_8 ADB2 140 N 
776.1691 M412 2821306 dtn2_13 ADB2 140 N 
776.8330 M413 1556109 dtn2_12 ADB2 140 N 
780.0831 M414 1536513 dtn1_7 ADB2 140 N 
780.3065 M415 1079462 dtn1_9 ADB2 140 N 
783.8561 M416 1455865 dtn1_8 ADB2 140 N 
784.6519 M417 1531806 dtn1_6 ADB2 140 N 
785.9311 M418 2220425 dtn2_12 ADB2 140 N 
786.1244 M419 2693254 dtn2_12 ADB2 140 N 
786.9526 M420 1756276 dtn1_9 ADB2 140 N 
787.0897 M421 1855904 dtn2_13 ADB2 140 N 
788.5771 M422 1874593 dtn2_12 ADB2 140 N 
788.8279 M423 2992926 dtn1_6 ADB2 140 N 
791.2375 M424 1531510 dtn2_11 ADB2 140 N 
791.3035 M425 1240952 dtn1_10 ADB2 140 N 
793.3731 M426 2598267 dtn1_6 ADB2 140 N 
793.9836 M427 1850515 dtn1_10 ADB2 140 N 
795.6830 M428 2874569 dtn2_13 ADB2 140 N 
798.4165 M429 2116894 dtn2_15 ADB2 140 N 
801.4087 M430 2771889 dtn1_9 ADB2 140 N 
803.8822 M431 1623448 dtn2_15 ADB2 140 N 
804.0904 M432 1246572 dtn1_9 ADB2 140 N 
805.3986 M433 2273182 dtn2_15 ADB2 140 N 
806.5471 M434 2995712 dtn1_7 ADB2 140 N 
814.0735 M435 2138819 dtn2_12 ADB2 140 N 
814.6677 M436 1094749 dtn1_6 ADB2 140 N 
816.3441 M437 1060289 dtn2_15 ADB2 140 N 
817.1299 M438 2069290 dtn1_8 ADB2 140 N 
821.3323 M439 1019273 dtn1_7 ADB2 140 N 
821.9255 M440 1648646 dtn2_13 ADB2 140 N 
827.5003 M441 2559185 dtn1_6 ADB2 140 N 
828.1758 M442 1796335 dtn1_7 ADB2 140 N 
828.8306 M443 2454605 dtn2_12 ADB2 140 N 
830.2234 M444 1105103 dtn2_15 ADB2 140 N 
832.3116 M445 1787137 dtn2_14 ADB2 140 N 
833.2592 M446 2496432 dtn1_10 ADB2 140 N 
834.8123 M447 2203803 dtn1_9 ADB2 140 N 
835.6183 M448 1613384 dtn2_13 ADB2 140 N 
837.3032 M449 2506099 dtn1_7 ADB2 140 N 
840.1266 M450 2407849 dtn1_8 ADB2 140 N 
841.3562 M451 1489659 dtn2_14 ADB2 140 N 
842.4572 M452 1362810 dtn1_8 ADB2 140 N 
844.2045 M453 1988060 dtn2_15 ADB2 140 N 
845.5057 M454 2795729 dtn1_10 ADB2 140 N 
847.5016 M455 2617960 dtn2_11 ADB2 140 N 
850.2651 M456 2467409 dtn2_14 ADB2 140 N 
851.2390 M457 1641547 dtn2_13 ADB2 140 N 
853.6287 M458 2845912 dtn1_8 ADB2 140 N 
856.9728 M459 1988967 dtn2_13 ADB2 140 N 
858.6753 M460 2459440 dtn2_15 ADB2 140 N 
865.5119 M461 1590160 dtn1_10 ADB2 140 N 
867.3840 M462 1402949 dtn2_12 ADB2 140 N 
871.1131 M463 2347453 dtn1_10 ADB2 140 N 
871.3695 M464 2459161 dtn1_8 ADB2 140 N 
873.0557 M465 1888064 dtn1_9 ADB2 140 N 
873.6743 M466 1095090 dtn2_14 ADB2 140 N 
875.6231 M467 2542017 dtn2_14 ADB2 140 N 
875.7081 M468 2715775 dtn2_15 ADB2 140 N 
876.3525 M469 2761437 dtn1_8 ADB2 140 N 
876.6764 M470 1761454 dtn1_6 ADB2 140 N 
878.6747 M471 2808921 dtn2_12 ADB2 140 N 
881.3437 M472 2607666 dtn2_15 ADB2 140 N 
