# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
675.1000 M281 2692694 1 144.0385 dtn1_10 ADB2 137 N dtn1_10->ADB2
680.2000 M343 1264272 1 30.0895 dtn1_10 ADB2 139 N dtn1_10->ADB2
691.3000 M206 2757661 1 296.3666 dtn1_10 ADB2 135 N dtn1_10->ADB2
697.9000 M348 1642685 1 38.7134 dtn1_10 ADB2 139 N dtn1_10->ADB2
704.5000 M364 1641683 1 18.6400 dtn1_10 ADB2 139 N dtn1_10->ADB2
711.6000 M370 1770451 1 18.7569 dtn1_10 ADB2 139 N dtn1_10->ADB2
715.9000 M329 1055903 1 89.4481 dtn1_10 ADB2 138 N dtn1_10->ADB2
726.8000 M377 2722733 1 17.1425 dtn1_10 ADB2 139 N dtn1_10->ADB2
737.4000 M140 2647816 1 485.5366 dtn1_7 ADB2 131 N dtn1_7->ADB2
743.9000 M365 1623463 1 57.5033 dtn1_7 ADB2 139 N dtn1_7->ADB2
750.6000 M197 1666611 1 371.7082 dtn1_7 ADB2 133 N dtn1_7->ADB2
754.7000 M257 1008399 1 261.8303 dtn1_7 ADB2 135 N dtn1_7->ADB2
762.6000 M312 1952295 1 169.2137 dtn1_7 ADB2 137 N dtn1_7->ADB2
773.8000 M199 2795095 1 391.2990 dtn1_7 ADB2 133 N dtn1_7->ADB2
783.5000 M262 2418565 1 284.6334 dtn1_7 ADB2 135 N dtn1_7->ADB2
793.7000 M219 2525429 1 373.2952 dtn1_7 ADB2 133 N dtn1_7->ADB2
800.1000 M275 1584973 1 277.4970 dtn1_7 ADB2 135 N dtn1_7->ADB2
809.0000 M200 2219739 1 426.4131 dtn1_7 ADB2 132 N dtn1_7->ADB2
821.0000 M332 2976525 1 189.1979 dtn1_7 ADB2 136 N dtn1_7->ADB2
828.0000 M131 1727857 1 587.0753 dtn1_7 ADB2 130 N dtn1_7->ADB2
834.7000 M183 1650680 1 485.7060 dtn1_7 ADB2 131 N dtn1_7->ADB2
846.4000 M186 2908064 1 490.5375 dtn1_7 ADB2 131 N dtn1_7->ADB2
850.5000 M439 1019273 1 29.1677 dtn1_7 ADB2 139 N dtn1_7->ADB2
860.6000 M449 2506099 1 23.2968 dtn1_7 ADB2 139 N dtn1_7->ADB2
866.1000 M125 1350687 1 636.5013 dtn1_7 ADB2 129 N dtn1_7->ADB2
874.5000 M103 2098670 1 680.8933 dtn1_7 ADB2 128 N dtn1_7->ADB2
879.7000 M157 1284100 1 592.2004 dtn1_7 ADB2 130 N dtn1_7->ADB2
891.7000 M434 2995712 1 85.1529 dtn1_7 ADB2 138 N dtn1_7->ADB2
896.7000 M187 1243196 1 540.4693 dtn1_7 ADB2 130 N dtn1_7->ADB2
908.5000 M260 2937431 1 411.7346 dtn1_7 ADB2 133 N dtn1_7->ADB2
915.2000 M115 1667043 1 700.0223 dtn1_7 ADB2 128 N dtn1_7->ADB2
926.0000 M401 2648818 4 170.1685 dtn2_11 ADB2 137 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
926.4444 M318 1126897 4 321.6044 dtn2_11 ADB2 134 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
936.3000 M347 2433595 2 278.7071 dtn1_6 ADB2 135 N dtn1_6->dtn1_8->ADB2
946.0000 M311 2408572 2 354.4019 dtn1_6 ADB2 134 N dtn1_6->dtn1_8->ADB2
951.5000 M452 1362810 1 109.0428 dtn1_8 ADB2 138 N dtn1_8->ADB2
959.6000 M487 2004121 1 35.9699 dtn1_8 ADB2 139 N dtn1_8->ADB2
964.0000 M436 1094749 2 149.3323 dtn1_6 ADB2 137 N dtn1_6->dtn1_8->ADB2
971.0000 M391 1731919 2 235.9840 dtn1_6 ADB2 136 N dtn1_6->dtn1_8->ADB2
978.0000 M496 1725542 1 44.6809 dtn1_8 ADB2 139 N dtn1_8->ADB2
983.5000 M341 1353856 2 341.6119 dtn1_6 ADB2 134 N dtn1_6->dtn1_8->ADB2
995.5000 M423 2992926 2 206.6721 dtn1_6 ADB2 136 N dtn1_6->dtn1_8->ADB2
1001.9000 M506 1584879 1 51.7967 dtn1_8 ADB2 139 N dtn1_8->ADB2
1021.7000 M493 2185526 1 92.0233 dtn1_6 ADB2 138 N dtn1_6->ADB2
1028.8000 M470 1761454 1 152.1236 dtn1_6 ADB2 137 N dtn1_6->ADB2
1040.1000 M344 2811089 1 386.7427 dtn1_6 ADB2 133 N dtn1_6->ADB2
1046.9000 M403 1681868 1 285.1984 dtn1_6 ADB2 135 N dtn1_6->ADB2
1058.4000 M476 2862959 2 172.0653 dtn1_7 ADB2 137 N dtn1_7->dtn1_6->ADB2
1063.3000 M398 1209080 1 313.3918 dtn1_6 ADB2 134 N dtn1_6->ADB2
1071.7000 M508 2080309 1 118.4475 dtn1_6 ADB2 138 N dtn1_6->ADB2
1077.9000 M414 1536513 2 297.8169 dtn1_7 ADB2 135 N dtn1_7->dtn1_6->ADB2
1088.3000 M426 2598267 1 294.9269 dtn1_6 ADB2 135 N dtn1_6->ADB2
1099.0000 M562 2651655 1 17.7627 dtn1_6 ADB2 139 N dtn1_6->ADB2
1110.4000 M458 2845912 2 256.7713 dtn1_8 ADB2 135 N dtn1_8->dtn1_6->ADB2
1118.0000 M552 1891368 1 63.7412 dtn1_6 ADB2 138 N dtn1_6->ADB2
1123.9000 M564 1463729 1 38.8265 dtn1_6 ADB2 139 N dtn1_6->ADB2
1129.3000 M546 1344210 1 89.9222 dtn1_6 ADB2 138 N dtn1_6->ADB2
1139.5000 M361 2542830 1 460.4318 dtn1_6 ADB2 132 N dtn1_6->ADB2
1148.3000 M541 2183524 1 119.9096 dtn1_6 ADB2 138 N dtn1_6->ADB2
1158.1000 M483 2445389 1 250.4153 dtn1_6 ADB2 135 N dtn1_6->ADB2
1165.3000 M596 1793337 1 13.6554 dtn1_6 ADB2 139 N dtn1_6->ADB2
1171.8000 M368 1621761 1 481.4576 dtn1_6 ADB2 131 N dtn1_6->ADB2
1178.0000 M417 1531806 1 393.3481 dtn1_6 ADB2 133 N dtn1_6->ADB2
1184.9000 M592 1708194 1 46.0568 dtn1_6 ADB2 139 N dtn1_6->ADB2
1195.2000 M441 2559185 1 367.6997 dtn1_6 ADB2 133 N dtn1_6->ADB2
1206.3000 M512 2770201 1 243.3129 dtn1_6 ADB2 135 N dtn1_6->ADB2
1218.0000 M611 2919854 1 34.0111 dtn1_6 ADB2 139 N dtn1_6->ADB2
1229.9000 M609 2956880 1 51.2587 dtn1_6 ADB2 139 N dtn1_6->ADB2
1234.5000 M478 1127256 1 343.2221 dtn1_6 ADB2 134 N dtn1_6->ADB2
1246.4000 M631 2954985 1 25.7284 dtn1_6 ADB2 139 N dtn1_6->ADB2
1253.5000 M606 1772257 1 82.2218 dtn1_6 ADB2 138 N dtn1_6->ADB2
1265.2000 M645 2901893 1 15.0800 dtn1_6 ADB2 139 N dtn1_6->ADB2
1270.4000 M639 1294011 1 34.7884 dtn1_6 ADB2 139 N dtn1_6->ADB2
1276.1000 M536 1402523 1 263.4258 dtn1_9 ADB2 135 N dtn1_9->ADB2
1283.6000 M655 1864681 1 18.9581 dtn1_9 ADB2 139 N dtn1_9->ADB2
1291.9000 M495 2064692 1 360.3091 dtn1_9 ADB2 133 N dtn1_9->ADB2
1299.4000 M427 1850515 2 505.4164 dtn1_10 ADB2 131 N dtn1_10->dtn1_9->ADB2
1304.4000 M432 1246572 1 500.3096 dtn1_9 ADB2 131 N dtn1_9->ADB2
1313.3000 M447 2203803 1 478.4877 dtn1_9 ADB2 132 N dtn1_9->ADB2
1321.2000 M511 1968197 1 363.3099 dtn1_9 ADB2 133 N dtn1_9->ADB2
1330.4000 M600 2288382 1 174.8858 dtn1_9 ADB2 137 N dtn1_9->ADB2
1341.5000 M579 2774446 1 235.1134 dtn1_9 ADB2 136 N dtn1_9->ADB2
1349.6000 M516 2010340 1 374.3186 dtn1_9 ADB2 133 N dtn1_9->ADB2
1355.7000 M548 1524737 1 311.0981 dtn1_9 ADB2 134 N dtn1_9->ADB2
1365.2000 M693 2367498 1 11.5524 dtn1_9 ADB2 139 N dtn1_9->ADB2
1371.8000 M668 1637796 1 77.1951 dtn1_9 ADB2 138 N dtn1_9->ADB2
1378.2000 M549 1588971 1 329.5758 dtn1_9 ADB2 134 N dtn1_9->ADB2
1387.9000 M702 2402071 1 9.9509 dtn1_9 ADB2 139 N dtn1_9->ADB2
1397.4000 M491 2362484 1 468.7884 dtn1_9 ADB2 132 N dtn1_9->ADB2
1406.5000 M646 2260700 1 156.2086 dtn1_9 ADB2 137 N dtn1_9->ADB2
1415.9000 M698 2342486 1 52.8021 dtn1_9 ADB2 139 N dtn1_9->ADB2
1420.7000 M612 2238870 4 231.4096 dtn2_11 ADB2 136 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
1429.8000 M714 2252332 1 27.5951 dtn1_7 ADB2 139 N dtn1_7->ADB2
1436.5000 M633 1666274 1 212.0521 dtn1_7 ADB2 136 N dtn1_7->ADB2
1447.8000 M618 2818460 1 248.3442 dtn1_7 ADB2 135 N dtn1_7->ADB2
1458.9000 M469 2761437 2 582.5475 dtn1_8 ADB2 130 N dtn1_8->dtn1_7->ADB2
1464.8000 M709 1474576 1 66.1018 dtn1_7 ADB2 138 N dtn1_7->ADB2
1474.9000 M749 2503992 1 14.9760 dtn1_7 ADB2 139 N dtn1_7->ADB2
1481.4000 M729 1611808 1 58.7553 dtn1_7 ADB2 139 N dtn1_7->ADB2
1489.6000 M626 2026731 1 278.8703 dtn1_7 ADB2 135 N dtn1_7->ADB2
1495.7000 M542 1506947 2 464.3715 dtn1_8 ADB2 132 N dtn1_8->dtn1_7->ADB2
1505.2000 M557 2355536 2 437.7965 dtn1_8 ADB2 132 N dtn1_8->dtn1_7->ADB2
1511.2000 M671 1497649 1 213.6222 dtn1_7 ADB2 136 N dtn1_7->ADB2
1522.5000 M689 2817209 1 176.7233 dtn1_7 ADB2 137 N dtn1_7->ADB2
1531.1000 M571 2147904 2 440.8221 dtn1_8 ADB2 132 N dtn1_8->dtn1_7->ADB2
1542.1000 M526 2727662 2 549.0240 dtn1_8 ADB2 130 N dtn1_8->dtn1_7->ADB2
1550.4000 M438 2069290 2 733.2701 dtn1_8 ADB2 127 N dtn1_8->dtn1_7->ADB2
1560.1000 M682 2422635 1 241.0350 dtn1_7 ADB2 135 N dtn1_7->ADB2
1564.7000 M795 1126408 1 16.4951 dtn1_7 ADB2 139 N dtn1_7->ADB2
1575.8000 M773 2771913 1 77.3618 dtn1_7 ADB2 138 N dtn1_7->ADB2
1581.1000 M769 1307406 1 86.5375 dtn1_7 ADB2 138 N dtn1_7->ADB2
1592.5000 M573 2827866 2 500.3386 dtn1_8 ADB2 131 N dtn1_8->dtn1_7->ADB2
1602.1000 M707 2392779 1 205.5008 dtn1_7 ADB2 136 N dtn1_7->ADB2
1606.5502 M658 1106210 1 333.1981 dtn1_7 ADB2 134 N dtn1_7->ADB2
1611.8000 M772 1299969 1 113.5461 dtn1_7 ADB2 138 N dtn1_7->ADB2
1617.7000 M701 1465714 1 246.3408 dtn1_7 ADB2 135 N dtn1_7->ADB2
1627.1000 M807 2327910 1 67.3539 dtn1_7 ADB2 138 N dtn1_7->ADB2
1632.2000 M643 1271238 1 384.8368 dtn1_7 ADB2 133 N dtn1_7->ADB2
1639.3000 M776 1763843 1 131.2492 dtn1_7 ADB2 137 N dtn1_7->ADB2
1648.8000 M634 2354351 1 424.0577 dtn1_7 ADB2 132 N dtn1_7->ADB2
1657.5000 M841 2150414 1 28.8371 dtn1_7 ADB2 139 N dtn1_7->ADB2
1665.9000 M808 2077756 1 104.5909 dtn1_7 ADB2 138 N dtn1_7->ADB2
1666.9000 M780 1741265 4 152.8958 dtn2_12 ADB2 137 N dtn2_12->ADB3->WIFI_5->WIFI_4->ADB2
1668.1000 M659 2908544 4 391.8394 dtn2_12 ADB2 133 N dtn2_12->ADB3->WIFI_5->WIFI_4->ADB2
1678.3000 M825 2194866 1 81.3007 dtn1_9 ADB2 138 N dtn1_9->ADB2
1688.0000 M842 2416809 1 58.8646 dtn1_9 ADB2 139 N dtn1_9->ADB2
1698.4000 M753 2595811 2 232.2936 dtn1_10 ADB2 136 N dtn1_10->dtn1_9->ADB2
1706.9000 M736 2114965 2 270.4564 dtn1_10 ADB2 135 N dtn1_10->dtn1_9->ADB2
1711.5000 M644 1125636 2 462.5195 dtn1_10 ADB2 132 N dtn1_10->dtn1_9->ADB2
1720.4000 M828 2220673 1 114.1772 dtn1_9 ADB2 138 N dtn1_9->ADB2
1726.4000 M528 1497390 3 731.9394 dtn1_9 ADB2 127 N dtn1_9->dtn1_10->dtn1_9->ADB2
1732.4000 M834 1486795 1 120.1558 dtn1_9 ADB2 137 N dtn1_9->ADB2
1737.1000 M762 1174962 1 252.0959 dtn1_9 ADB2 135 N dtn1_9->ADB2
1748.8000 M895 2903404 1 33.7853 dtn1_9 ADB2 139 N dtn1_9->ADB2
1753.6000 M870 1187326 1 83.3198 dtn1_9 ADB2 138 N dtn1_9->ADB2
1760.8000 M836 1799155 1 142.6874 dtn1_9 ADB2 137 N dtn1_9->ADB2
1772.5000 M904 2921165 1 30.5575 dtn1_9 ADB2 139 N dtn1_9->ADB2
1784.1000 M653 2889318 2 529.7722 dtn1_10 ADB2 131 N dtn1_10->dtn1_9->ADB2
1793.3000 M617 2291930 2 594.2076 dtn1_10 ADB2 130 N dtn1_10->dtn1_9->ADB2
1797.9000 M913 1135999 1 9.9558 dtn1_9 ADB2 139 N dtn1_9->ADB2
1808.7000 M679 2695384 2 495.7215 dtn1_10 ADB2 131 N dtn1_10->dtn1_9->ADB2
1816.3000 M810 1876947 1 248.5565 dtn1_9 ADB2 135 N dtn1_9->ADB2
1825.1000 M783 2180356 1 299.3903 dtn1_9 ADB2 135 N dtn1_9->ADB2
1831.8000 M627 1661118 2 620.8406 dtn1_10 ADB2 129 N dtn1_10->dtn1_9->ADB2
1833.0000 M816 2178117 4 253.0162 dtn2_14 ADB2 135 N dtn2_14->ADB3->WIFI_5->WIFI_4->ADB2
1834.0000 M787 2374459 4 301.2010 dtn2_11 ADB2 134 N dtn2_11->ADB3->WIFI_5->WIFI_4->ADB2
1843.2000 M801 2276364 1 288.9630 dtn1_6 ADB2 135 N dtn1_6->ADB2
1851.9000 M805 2173789 1 295.7569 dtn1_6 ADB2 135 N dtn1_6->ADB2
1857.8000 M945 1458487 1 11.3480 dtn1_6 ADB2 139 N dtn1_6->ADB2
1866.0000 M864 2046363 1 204.8572 dtn1_6 ADB2 136 N dtn1_6->ADB2
1877.1000 M850 2772807 1 234.1434 dtn1_6 ADB2 136 N dtn1_6->ADB2
1888.4000 M909 2822790 1 118.6386 dtn1_6 ADB2 138 N dtn1_6->ADB2
1896.8000 M819 2089090 1 307.0056 dtn1_6 ADB2 134 N dtn1_6->ADB2
1902.7000 M862 1466867 1 243.9281 dtn1_6 ADB2 135 N dtn1_6->ADB2
1910.1000 M812 1844076 1 337.9614 dtn1_6 ADB2 134 N dtn1_6->ADB2
1915.5000 M757 1340818 2 437.5088 dtn1_8 ADB2 132 N dtn1_8->dtn1_6->ADB2
1931.9000 M853 1935143 2 287.0084 dtn1_7 ADB2 135 N dtn1_7->dtn1_8->ADB2
1942.7000 M930 2683705 1 127.0840 dtn1_8 ADB2 137 N dtn1_8->ADB2
1954.4000 M953 2907619 1 99.8927 dtn1_8 ADB2 138 N dtn1_8->ADB2
1965.3000 M881 2717762 2 269.9611 dtn1_7 ADB2 135 N dtn1_7->dtn1_8->ADB2
1976.9289 M550 2905120 4 925.6793 dtn1_7 ADB2 124 N dtn1_7->dtn1_8->dtn1_7->dtn1_8->ADB2
1985.0780 M987 2017962 1 62.3200 dtn1_8 ADB2 138 N dtn1_8->ADB2
1995.3000 M912 2540430 2 214.7653 dtn1_7 ADB2 136 N dtn1_7->dtn1_8->ADB2
2003.8000 M949 2118963 1 155.6488 dtn1_8 ADB2 137 N dtn1_8->ADB2
2010.0000 M1001 1541456 1 58.0314 dtn1_8 ADB2 139 N dtn1_8->ADB2
2024.6000 M972 1826133 1 137.8385 dtn1_7 ADB2 137 N dtn1_7->ADB2
2030.8000 M959 1530259 1 156.4882 dtn1_7 ADB2 137 N dtn1_7->ADB2
2039.6000 M861 2196202 1 380.8849 dtn1_7 ADB2 133 N dtn1_7->ADB2
2050.8000 M1027 2795287 1 38.2795 dtn1_7 ADB2 139 N dtn1_7->ADB2
2056.5000 M1020 1401467 1 55.5749 dtn1_7 ADB2 139 N dtn1_7->ADB2
2063.6000 M948 1759869 2 215.7124 dtn1_8 ADB2 136 N dtn1_8->dtn1_7->ADB2
2071.5000 M877 1957003 1 384.3423 dtn1_7 ADB2 133 N dtn1_7->ADB2
2076.2000 M914 1173510 2 288.2344 dtn1_8 ADB2 135 N dtn1_8->dtn1_7->ADB2
2087.0000 M905 2693372 2 343.4733 dtn1_8 ADB2 134 N dtn1_8->dtn1_7->ADB2
2098.4000 M860 2848272 1 440.0875 dtn1_7 ADB2 132 N dtn1_7->ADB2
2106.8000 M1008 2092222 1 141.0494 dtn1_7 ADB2 137 N dtn1_7->ADB2
2113.6000 M979 1686959 1 204.8288 dtn1_7 ADB2 136 N dtn1_7->ADB2
2121.0000 M1062 1834458 1 19.3315 dtn1_7 ADB2 139 N dtn1_7->ADB2
2127.8000 M848 1684266 1 486.3897 dtn1_7 ADB2 131 N dtn1_7->ADB2
